activeaddresses30mom,confirmationtime30ema,confirmationtime3ema,confirmationtime7wma,confirmationtime90ema,hashrate30roc,hashrate3std,hashrate7trx,hashrate90mom,hashrate90roc,hashrate90rsi,median_transaction_fee3trxUSD,median_transaction_fee7rocUSD,median_transaction_feeUSD,mediantransactionvalue7rsiUSD,mediantransactionvalue90smaUSD,mediantransactionvalue90trxUSD,mediantransactionvalueUSD,mining_profitability,mining_profitability3roc,mining_profitability3sma,mining_profitability3wma,mining_profitability7std,price3rsiUSD,price7momUSD,price7varUSD,sentbyaddress30var,sentinusdUSD,size30rsi,size30std,size30trx,size3mom,top100cap,category
26527,8.368,7.882999999999999,8.282,8.93,103.34200000000001,9120893942289.0,1.91,41170572602891.0,169.207,59.085,3.721,36.98,0.0474,60.871,26.683000000000003,0.207,64.987,7220.0,11.668,6932.0,7035.0,1354.0,99.456,25.57,47.123999999999995,41786951,136779480.0,48.67100000000001,61285.0,-0.019,-38565.0,19.962,1
45815,8.341000000000001,7.92,8.099,8.908999999999999,87.712,9102326460793.0,2.016,39040948935635.0,171.197,58.01,5.183,50.27,0.0539,75.133,27.576999999999998,0.23,94.955,7990.0,20.96,7394.0,7564.0,1331.0,99.811,36.045,70.017,47486125,278422775.0,52.003,61721.0,-0.015,-12301.0,20.024,1
53604,8.334,8.074,8.042,8.894,60.185,4382926598167.0,1.9909999999999999,36545481949172.0,154.039,57.553999999999995,6.968,51.448,0.06,77.547,28.497,0.256,102.53299999999999,8852.0,26.973000000000003,8021.0,8293.0,1543.0,99.902,40.765,147.237,64654761,284039909.0,52.771,62497.0,-0.006,36379.0,19.987000000000002,1
51496,8.399,8.712,8.363999999999999,8.904,61.053000000000004,5604231281746.0,1.734,32664274002648.0,144.48,56.138999999999996,7.181,44.093,0.0618,82.868,29.741,0.285,123.314,8777.0,21.568,8540.0,8671.0,1837.0,99.919,37.81,212.638,85452388,282809750.0,55.88399999999999,65394.0,0.013000000000000001,82312.0,19.99,1
30883,8.446,8.913,8.573,8.908999999999999,53.47,6941518587731.0,1.2990000000000002,29224759256222.0,129.366,55.18899999999999,6.652,48.589,0.0643,83.28399999999999,30.976999999999997,0.317,125.18299999999999,9950.0,24.533,9193.0,9376.0,2233.0,99.941,42.073,252.53400000000002,102026223,264855827.0,52.846000000000004,65074.0,0.034,14623.0,19.833,1
16719,8.471,8.874,8.683,8.907,91.145,8304863333104.0,1.1340000000000001,41061625785494.0,197.729,57.303999999999995,5.981,53.353,0.0671,54.42,31.783,0.35,90.165,8923.0,0.809,9217.0,9241.0,1945.0,99.959,46.659,254.364,102441468,178261986.0,50.032,62919.0,0.052000000000000005,-25642.0,19.833,1
30502,8.491,8.827,8.761000000000001,8.904,80.26100000000001,9882068371770.0,1.11,39953437951617.0,175.56900000000002,57.483000000000004,5.654,59.552,0.071,41.903,32.319,0.38299999999999995,64.295,9411.0,7.226,9428.0,9339.0,1662.0,99.975,53.03,220.99400000000003,100672517,154226371.0,53.815,65397.0,0.07400000000000001,-16156.0,19.767,1
59772,8.542,9.059,8.957,8.913,77.54,1246313681552.0,1.146,38628952753648.0,156.27100000000002,57.613,6.915,72.687,0.0818,65.581,33.565,0.418,130.618,10124.0,1.749,9486.0,9687.0,1370.0,99.99,68.845,273.418,105592143,249416807.0,52.905,66811.0,0.099,5051.0,19.689,1
55081,8.519,8.62,8.805,8.897,66.58800000000001,2031418385078.0,1.229,43948323606567.0,207.66299999999998,57.971000000000004,9.62,81.344,0.0977,76.234,35.483000000000004,0.45899999999999996,193.144,13352.0,49.628,10963.0,11619.0,2978.0,99.99600000000001,87.647,622.056,122951117,405474208.0,51.504,66511.0,0.122,20562.0,19.714000000000002,0
79926,8.456,8.08,8.482999999999999,8.867,81.082,5815871392440.0,1.436,47104617887843.0,203.899,58.985,7.834,48.746,0.0892,87.10600000000001,39.108000000000004,0.514,339.149,12305.0,30.743000000000002,11927.0,12290.0,3244.0,68.465,58.497,641.4680000000001,150691678,513296957.0,50.57899999999999,66465.0,0.141,-36969.0,19.762,0
