activeaddresses,activeaddresses30wma,activeaddresses7trx,confirmationtime,confirmationtime30sma,confirmationtime3ema,confirmationtime3wma,confirmationtime7wma,confirmationtime90ema,confirmationtime90wma,fee_to_reward3stdUSD,fee_to_reward7emaUSD,fee_to_reward7smaUSD,fee_to_rewardUSD,hashrate30mom,hashrate30trx,hashrate7std,median_transaction_feeUSD,mediantransactionvalue30emaUSD,mediantransactionvalue90trxUSD,mediantransactionvalueUSD,mining_profitability,price30rocUSD,price30rsiUSD,price3momUSD,price3rocUSD,price3rsiUSD,price3trxUSD,price7momUSD,price7rocUSD,price7rsiUSD,priceUSD,size3sma,size90mom,size90roc,size90sma,top100cap,top100cap90rsi,transactions,transactions3var,transactions7var,transactions90std,transactions90var,transactionvalueUSD,category
75756,68908.0,1.516,7.273,8.4,7.882999999999999,7.864,8.282,8.93,8.698,0.494,1.172,1.301,0.867,33289359261546.0,1.3730000000000002,11901094115686.0,0.0474,44.501999999999995,0.207,64.987,7220.0,185.993,93.774,8.125,9.383,99.456,3.7230000000000003,25.57,36.98,96.992,94.715,158276.0,50223.0,56.409,154528.0,19.962,50.301,52572,38831985.0,38380777.0,16078.0,64627438,2592.0,1
91875,70657.0,1.611,7.956,8.367,7.92,7.822,8.099,8.908999999999999,8.672,0.385,1.214,1.3219999999999998,1.338,28898599580993.0,1.406,11887441553889.0,0.0539,47.757,0.23,94.955,7990.0,231.96400000000003,94.98700000000001,20.295,23.206,99.811,5.184,36.045,50.27,98.20100000000001,107.749,154176.0,61367.0,53.794,155210.0,20.024,50.893,63095,62113871.0,41064926.0,15980.0,63840999,4400.0,1
107142,73293.0,2.166,8.229,8.373,8.074,7.978,8.042,8.894,8.652000000000001,0.604,1.31,1.2919999999999998,1.5959999999999999,22644792950968.0,1.435,7672492273609.0,0.06,51.291000000000004,0.256,102.53299999999999,8852.0,259.795,95.785,30.953000000000003,34.759,99.902,6.968,40.765,51.448,98.75200000000001,120.00299999999999,166303.0,76185.0,70.527,156056.0,19.987000000000002,50.53,63766,26276601.0,45047715.0,15982.0,63855681,4478.0,1
108890,75926.0,2.7969999999999997,9.351,8.339,8.712,8.744,8.363999999999999,8.904,8.657,0.499,1.469,1.382,1.9480000000000002,20952983860921.0,1.456,7013418016731.0,0.0618,55.938,0.285,123.314,8777.0,237.355,95.977,28.846,30.456,99.919,7.181,37.81,44.093,98.869,123.56200000000001,193740.0,79757.0,56.24100000000001,156943.0,19.99,50.559,66738,2506053.0,54314709.0,16206.0,65661184,4249.0,1
100034,77877.0,3.094,9.113999999999999,8.334,8.913,9.045,8.573,8.908999999999999,8.657,0.43,1.46,1.389,1.432,18052965546765.0,1.4680000000000002,8735347100869.0,0.0643,60.405,0.317,125.18299999999999,9950.0,229.99200000000002,96.23299999999999,20.915,19.410999999999998,99.941,6.652,42.073,48.589,99.022,128.664,198614.0,71827.0,60.746,157741.0,19.833,49.033,61215,5093768.0,53572936.0,16024.0,64193454,4348.0,1
83086,78668.0,2.801,8.834,8.328,8.874,9.014,8.683,8.907,8.651,0.8170000000000001,1.3319999999999999,1.315,0.9470000000000001,29481914738664.0,1.479,9094706513828.0,0.0671,62.325,0.35,90.165,8923.0,235.372,96.479,14.110999999999999,11.759,99.959,5.982,46.659,53.353,99.164,134.114,190067.0,57958.0,57.608000000000004,158385.0,19.833,49.037,51555,39371402.0,59507406.0,15424.0,59472284,3458.0,1
87097,79682.0,2.365,8.78,8.321,8.827,8.854,8.761000000000001,8.904,8.644,0.41,1.324,1.347,1.3019999999999998,27921624910729.0,1.489,8740512343785.0,0.071,62.452,0.38299999999999995,64.295,9411.0,244.10299999999998,96.79700000000001,18.518,14.987,99.975,5.654,53.03,59.552,99.329,142.08,184681.0,100010.0,94.885,159496.0,19.767,48.403999999999996,63377,26416614.0,29681200.0,15284.0,58397618,2445.0,1
113894,82359.0,2.425,9.29,8.346,9.059,9.044,8.957,8.913,8.648,0.295,1.2890000000000001,1.392,1.183,27667086857724.0,1.4980000000000002,8053492716857.0,0.0818,66.85,0.418,130.618,10124.0,278.959,97.44,34.896,27.122,99.99,6.915,68.845,72.687,99.587,163.561,186365.0,45815.0,30.685,160005.0,19.689,47.678999999999995,61525,26954499.0,19648358.0,15008.0,56310715,4044.0,1
112075,84790.0,2.582,8.182,8.357000000000001,8.62,8.651,8.805,8.897,8.628,0.158,1.244,1.36,1.11,26026202102526.0,1.506,8861372838837.0,0.0977,74.998,0.45899999999999996,193.144,13352.0,339.904,98.04299999999999,61.283,45.695,99.99600000000001,9.62,87.647,81.344,99.75200000000001,195.39700000000002,193219.0,30792.0,20.758000000000003,160347.0,19.714000000000002,47.935,66803,4780518.0,22905042.0,15049.0,56620209,6073.0,0
133453,88482.0,3.0869999999999997,7.539,8.315,8.08,8.045,8.482999999999999,8.867,8.595,0.192,1.268,1.3230000000000002,1.34,31436013998035.0,1.518,11374186667831.0,0.0892,92.04,0.514,339.149,12305.0,295.611,86.819,36.419000000000004,25.633000000000003,68.465,7.834,58.497,48.746,79.994,178.5,180896.0,4759.0,2.908,160400.0,19.762,48.425,63690,4692809.0,22870439.0,15166.0,57499297,8125.0,0
