activeaddresses,confirmationtime,difficulty30mom,difficulty3var,difficulty7mom,difficulty90var,difficulty90wma,fee_to_reward30stdUSD,fee_to_rewardUSD,hashrate3std,median_transaction_fee3trxUSD,median_transaction_feeUSD,mediantransactionvalueUSD,mining_profitability,mining_profitability90trx,price30emaUSD,price30smaUSD,price30varUSD,price30wmaUSD,price3emaUSD,price3momUSD,price3rocUSD,price3rsiUSD,price3wmaUSD,price7emaUSD,price7rocUSD,price7rsiUSD,price7smaUSD,price90smaUSD,top100cap,top100cap30roc,top100cap30rsi,top100cap30trx,top100cap7trx,top100cap90mom,top100cap90roc,top100cap90rsi,transactions,transactionvalueUSD,category
75756,7.273,2327950.0,-0.047,0.0,1168545930405.0,4430808.0,1.147,0.867,9120893942289.0,3.721,0.0474,64.987,7220.0,0.091,61.215,56.481,343.51800000000003,66.298,90.961,8.125,9.383,99.456,91.616,84.75200000000001,36.98,96.992,84.929,32.485,19.962,3.6,65.405,0.011000000000000001,0.191,0.426,2.1830000000000003,50.301,52572,2592.0,0
91875,7.956,2327950.0,-0.031,0.0,1243754847226.0,4492115.0,1.145,1.338,9102326460793.0,5.183,0.0539,94.955,7990.0,0.10400000000000001,64.217,58.99100000000001,405.594,69.605,99.355,20.295,23.206,99.811,100.288,90.501,50.27,98.20100000000001,90.07799999999999,33.536,20.024,3.498,66.711,0.013999999999999999,0.209,0.42700000000000005,2.1790000000000003,50.893,63095,4400.0,0
107142,8.229,2327950.0,-0.039,0.0,1315553871298.0,4552514.0,1.151,1.5959999999999999,4382926598167.0,6.968,0.06,102.53299999999999,8852.0,0.11699999999999999,67.816,61.879,499.42199999999997,73.541,109.679,30.953000000000003,34.759,99.902,111.70299999999999,97.87700000000001,51.448,98.75200000000001,95.902,34.722,19.987000000000002,3.051,65.191,0.017,0.21600000000000003,0.366,1.864,50.53,63766,4478.0,0
108890,9.351,2327950.0,-0.039,0.0,1383943002621.0,4612006.0,1.173,1.9480000000000002,5604231281746.0,7.181,0.0618,123.314,8777.0,0.132,71.413,64.777,596.59,77.521,116.62,28.846,30.456,99.919,119.74,104.29799999999999,44.093,98.869,101.303,35.948,19.99,3.408,65.257,0.02,0.214,0.45,2.302,50.559,66738,4249.0,0
100034,9.113999999999999,2637182.0,21249895805.0,309232.0,1468006625051.0,4677386.0,0.672,1.432,6941518587731.0,6.652,0.0643,125.18299999999999,9950.0,0.147,75.10600000000001,67.766,701.54,81.643,122.64200000000001,20.915,19.410999999999998,99.941,125.52,110.389,48.589,99.022,107.314,37.231,19.833,2.285,59.122,0.023,0.193,0.29,1.485,49.033,61215,4348.0,0
83086,8.834,3305124.0,166293184608.0,977174.0,1595799220682.0,4756464.0,0.6709999999999999,0.9470000000000001,8304863333104.0,5.981,0.0671,90.165,8923.0,0.163,78.913,70.904,812.71,85.92299999999999,128.378,14.110999999999999,11.759,99.959,130.53799999999998,116.32,53.353,99.164,113.979,38.576,19.833,2.292,59.132,0.026000000000000002,0.16399999999999998,0.23,1.171,49.037,51555,3458.0,0
87097,8.78,3305124.0,99143513866.0,977174.0,1718152888140.0,4834395.0,0.672,1.3019999999999998,9882068371770.0,5.654,0.071,64.295,9411.0,0.179,82.98899999999999,74.263,941.058,90.515,135.22899999999998,18.518,14.987,99.975,137.188,122.76,59.552,99.329,121.555,40.008,19.767,1.339,56.711000000000006,0.027999999999999997,0.129,0.141,0.72,48.403999999999996,63377,2445.0,0
113894,9.29,3305124.0,-0.039,977174.0,1838692472962.0,4911181.0,0.672,1.183,1246313681552.0,6.915,0.0818,130.618,10124.0,0.196,88.18700000000001,78.277,1159.0,96.27600000000001,149.395,34.896,27.122,99.99,151.49200000000002,132.96,72.687,99.587,131.39,41.677,19.689,0.889,54.048,0.03,0.08800000000000001,0.294,1.514,47.678999999999995,61525,4044.0,0
112075,8.182,3305124.0,-0.039,977174.0,1957321566010.0,4986854.0,0.672,1.11,2031418385078.0,9.62,0.0977,193.144,13352.0,0.215,95.104,83.309,1552.0,103.83200000000001,172.396,61.283,45.695,99.99600000000001,175.898,148.569,81.344,99.75200000000001,143.911,43.696000000000005,19.714000000000002,1.5490000000000002,54.763000000000005,0.032,0.053,0.32899999999999996,1.699,47.935,66803,6073.0,0
133453,7.539,3305124.0,-0.031,977174.0,2071119322547.0,5061446.0,0.6729999999999999,1.34,5815871392440.0,7.834,0.0892,339.149,12305.0,0.235,100.484,87.755,1786.0,109.97399999999999,175.44799999999998,36.419000000000004,25.633000000000003,68.465,181.642,156.05200000000002,48.746,79.994,152.268,45.527,19.762,1.646,56.115,0.033,0.027000000000000003,0.413,2.133,48.425,63690,8125.0,0
124611,9.0,3305124.0,-0.031,977174.0,2180085742573.0,5134959.0,0.631,1.5630000000000002,4482978136383.0,0.335,0.0575,115.115,7092.0,0.254,101.42,90.118,1742.0,111.73100000000001,145.224,-48.56,-29.69,24.65,149.566,145.789,-6.928999999999999,42.81399999999999,151.045,46.648999999999994,20.19,3.752,65.535,0.035,0.044000000000000004,0.8079999999999999,4.169,52.423,68247,4028.0,0
102963,8.324,3305124.0,-0.031,667941.0,2284220826087.0,5207391.0,0.63,1.291,5415232385745.0,-5.735,0.0462,98.59899999999999,6360.0,0.273,100.84100000000001,91.774,1664.0,111.881,118.835,-102.95100000000001,-52.688,18.382,114.306,132.453,-28.15,35.9,145.871,47.521,20.136,3.362,63.745,0.037000000000000005,0.07,0.76,3.92,51.908,58517,2789.0,0
82837,8.623,3007612.0,-0.039,0.0,2383524573089.0,5278743.0,0.636,0.958,2519151534939.0,-7.92,0.0492,70.79899999999999,6595.0,0.29100000000000004,100.686,93.61200000000001,1584.0,112.311,108.635,-80.064,-44.854,25.888,99.199,123.949,-26.603,38.954,140.774,48.46,20.137999999999998,3.3169999999999997,63.785,0.04,0.096,0.8540000000000001,4.43,51.927,53350,2395.0,0
