activeaddresses,confirmationtime,difficulty,difficulty30ema,difficulty3trx,difficulty7mom,difficulty7trx,difficulty90var,fee_to_reward90trxUSD,fee_to_rewardUSD,hashrate30trx,hashrate3mom,hashrate3var,hashrate7sma,hashrate7var,median_transaction_feeUSD,mediantransactionvalueUSD,mining_profitability,price30smaUSD,price30stdUSD,price30varUSD,price3emaUSD,price3rocUSD,price3rsiUSD,price3smaUSD,price3wmaUSD,price7emaUSD,price7rocUSD,price7rsiUSD,price7wmaUSD,price90emaUSD,price90momUSD,price90rocUSD,top100cap,top100cap30mom,top100cap30roc,top100cap30rsi,top100cap90rsi,transactions,transactionvalueUSD,category
75756,7.273,6695826.0,5385392.0,0.845,0.0,2.593,1168545930405.0,0.742,0.867,1.3730000000000002,6431393708788.0,2.079767657662e+25,55235596298287.0,3.5409010287601996e+25,0.0474,64.987,7220.0,56.481,37.068000000000005,343.51800000000003,90.961,9.383,99.456,90.406,91.616,84.75200000000001,36.98,96.992,88.156,39.444,81.308,606.456,19.962,0.6940000000000001,3.6,65.405,50.301,52572,2592.0,1
91875,7.956,6695826.0,5469936.0,0.52,0.0,2.333,1243754847226.0,0.733,1.338,1.406,3737454649762.0,2.0713086749713e+25,56894215515944.0,3.5327816674279e+25,0.0539,94.955,7990.0,58.99100000000001,40.279,405.594,99.355,23.206,99.811,97.171,100.288,90.501,50.27,98.20100000000001,93.861,40.945,94.54799999999999,716.2180000000001,20.024,0.677,3.498,66.711,50.893,63095,4400.0,1
107142,8.229,6695826.0,5549026.0,0.314,0.0,2.064,1315553871298.0,0.725,1.5959999999999999,1.435,5716892007375.0,4.8025113912307e+24,58975896856611.0,1.4716784422148998e+25,0.06,102.53299999999999,8852.0,61.879,44.695,499.42199999999997,109.679,34.759,99.902,107.48899999999999,111.70299999999999,97.87700000000001,51.448,98.75200000000001,101.34200000000001,42.681999999999995,106.79,808.284,19.987000000000002,0.5920000000000001,3.051,65.191,50.53,63766,4478.0,1
108890,9.351,6695826.0,5623013.0,0.187,0.0,1.801,1383943002621.0,0.7170000000000001,1.9480000000000002,1.456,-10229656991704.0,7.8518520648237e+24,59231838277080.0,1.2297008069352e+25,0.0618,123.314,8777.0,64.777,48.85,596.59,116.62,30.456,99.919,117.104,119.74,104.29799999999999,44.093,98.869,108.257,44.46,110.34299999999999,834.762,19.99,0.659,3.408,65.257,50.559,66738,4249.0,0
100034,9.113999999999999,7005058.0,5712177.0,0.6890000000000001,309232.0,1.6340000000000001,1468006625051.0,0.71,1.432,1.4680000000000002,-10030142156358.0,1.2046170075955e+25,58195372037459.0,1.9076572243164e+25,0.0643,125.18299999999999,9950.0,67.766,52.973,701.54,122.64200000000001,19.410999999999998,99.941,124.07600000000001,125.52,110.389,48.589,99.022,115.09700000000001,46.31100000000001,115.491,876.762,19.833,0.44299999999999995,2.285,59.122,49.033,61215,4348.0,0
83086,8.834,7673000.0,5838682.0,2.167,977174.0,1.673,1595799220682.0,0.7020000000000001,0.9470000000000001,1.479,1557847201520.0,1.7242688745382e+25,58726810965768.0,2.0678421643165e+25,0.0671,90.165,8923.0,70.904,57.016000000000005,812.71,128.378,11.759,99.959,128.78,130.53799999999998,116.32,53.353,99.164,121.79700000000001,48.24,120.991,922.051,19.833,0.444,2.292,59.132,49.037,51555,3458.0,0
87097,8.78,7673000.0,5957025.0,2.7030000000000003,977174.0,1.756,1718152888140.0,0.695,1.3019999999999998,1.489,7437559507776.0,2.4413818826086e+25,59892030838102.0,1.9099139007964e+25,0.071,64.295,9411.0,74.263,61.353,941.058,135.22899999999998,14.987,99.975,134.952,137.188,122.76,59.552,99.329,128.822,50.303000000000004,128.918,979.512,19.767,0.261,1.339,56.711000000000006,48.403999999999996,63377,2445.0,0
113894,9.29,7673000.0,6067733.0,2.48,977174.0,1.81,1838692472962.0,0.687,1.183,1.4980000000000002,11532678823846.0,3.8832444820572e+23,59584319614918.0,1.6214686235118e+25,0.0818,130.618,10124.0,78.277,68.074,1159.0,149.395,27.122,99.99,146.585,151.49200000000002,132.96,72.687,99.587,139.32399999999998,52.792,150.154,1120.0,19.689,0.174,0.889,54.048,47.678999999999995,61525,4044.0,0
112075,8.182,7673000.0,6171299.0,1.955,977174.0,1.8090000000000002,1957321566010.0,0.679,1.11,1.506,3283429025417.0,1.0316651638085e+24,60050897739750.0,1.9630982147221e+25,0.0977,193.144,13352.0,83.309,78.796,1552.0,172.396,45.695,99.99600000000001,167.012,175.898,148.569,81.344,99.75200000000001,155.325,55.926,181.794,1337.0,19.714000000000002,0.301,1.5490000000000002,54.763000000000005,47.935,66803,6073.0,0
133453,7.539,7673000.0,6268182.0,1.412,977174.0,1.755,2071119322547.0,0.672,1.34,1.518,7496489193464.0,8.456090013351299e+24,61470345781525.0,3.2343030588667e+25,0.0892,339.149,12305.0,87.755,84.51899999999999,1786.0,175.44799999999998,25.633000000000003,68.465,179.15200000000002,181.642,156.05200000000002,48.746,79.994,163.972,58.62,164.748,1198.0,19.762,0.32,1.646,56.115,48.425,63690,8125.0,0
