difficulty30rsi,difficulty90var,fee_to_reward90rsiUSD,hashrate30var,median_transaction_fee7rocUSD,mining_profitability,price30smaUSD,price3wmaUSD,price7wmaUSD,sentinusd90emaUSD,size90trx,top100cap,transactionvalueUSD,priceUSD
100.0,1.67475116359011e+16,50.853,4.978721375682e+29,67.827,361.736,186.18900000000002,312.534,279.329,136779674,-0.054000000000000006,21.443,5511.0,418.345
100.0,1.77533233635717e+16,50.148999999999994,4.5586258417033e+29,44.102,308.6,191.791,307.293,287.903,138886354,-0.051,21.464000000000002,4079.0,453.251
100.0,1.96510668009175e+16,49.166000000000004,4.9101960278158e+29,45.473,346.545,205.113,321.634,311.805,146035601,-0.045,21.412,6506.0,601.887
100.0,2.13729427238831e+16,49.25899999999999,4.8776302291474e+29,46.335,420.269,221.952,379.61300000000006,350.147,159846824,-0.038,21.361,6681.0,599.545
100.0,5.06290124847287e+16,49.053999999999995,9.6702505661014e+29,-13.865,460.80699999999996,750.8910000000001,875.513,852.475,737162107,0.146,21.861,13529.0,615.988
100.0,5.45244690695761e+16,48.86,1.1562158689936e+30,18.602,516.908,782.721,859.707,864.995,733697432,0.156,21.851999999999997,10111.0,614.2909999999999
100.0,5.63188402114123e+16,48.879,1.2823673410205e+30,13.764000000000001,424.99199999999996,796.813,847.205,860.303,725976403,0.161,21.836,7399.0,634.818
100.0,5.79568720938331e+16,48.986000000000004,1.3882536957612e+30,-9.566,466.724,808.682,807.842,836.982,745555320,0.165,21.829,23729.0,650.085
100.0,3.29271441644842e+17,49.174,5.6636665072754e+30,0.575,163.04399999999998,844.85,823.8689999999999,825.825,587212795,0.16899999999999998,21.226999999999997,9515.0,634.091
100.0,3.46296073623669e+17,49.177,5.9555107708905e+30,-1.515,168.56799999999998,841.035,813.216,819.61,585515396,0.16899999999999998,21.215999999999998,7295.0,574.95
100.0,3.9077129767443e+17,49.12,6.5527729387009e+30,-19.081,109.08,826.248,691.6510000000001,739.201,576986444,0.16899999999999998,21.195999999999998,6124.0,633.999
100.0,4.25348513896617e+17,49.292,6.2799791893409e+30,-23.631,131.629,803.7289999999999,647.47,669.882,569915248,0.17,21.151,6459.0,622.409
100.0,4.34674695342107e+17,49.148999999999994,6.5591506212041e+30,-28.162,108.42,794.75,609.077,640.179,566122121,0.171,21.17,5916.0,597.613
100.0,4.50662795000407e+17,48.998999999999995,7.4991272818379e+30,-15.610999999999999,115.166,775.534,572.285,599.696,564222813,0.17300000000000001,21.155,10455.0,578.305
100.0,4.58651596795538e+17,48.88,8.2118790463142e+30,-6.245,120.73100000000001,769.243,604.222,603.131,560140602,0.17300000000000001,21.186,6601.0,618.523
100.0,5.40317994897452e+17,49.255,1.1758310061466e+31,3.9419999999999997,94.72,737.585,610.982,614.4780000000001,538369869,0.177,21.362,4549.0,580.375
100.0,6.42327829095662e+17,49.378,1.3130494426754e+31,0.456,81.992,666.957,572.786,565.944,507790254,0.18899999999999997,20.973000000000003,4616.0,642.185
100.0,6.7398645836934e+17,49.333,1.2717120830793e+31,-3.1510000000000002,66.869,658.538,565.989,563.536,506552275,0.191,20.967,7155.0,619.677
