activeaddresses,difficulty,difficulty30mom,difficulty30rsi,difficulty90mom,hashrate90var,median_transaction_fee30trxUSD,median_transaction_feeUSD,mining_profitability,mining_profitability90rsi,price30smaUSD,price30wmaUSD,price3emaUSD,price3wmaUSD,price7smaUSD,price90wmaUSD,sentinusd90emaUSD,sentinusd90smaUSD,size90trx,transactionvalueUSD,priceUSD
75756,6695826.0,2327950.0,97.889,3716190.0,1.2925476936344e+26,2.4819999999999998,0.0474,7220.0,54.763000000000005,56.481,66.298,90.961,91.616,84.929,43.032,68391477,54550954,0.33399999999999996,2592.0,124.662
91875,6695826.0,2327950.0,97.889,3716190.0,1.3821861281017e+26,2.5340000000000003,0.0539,7990.0,55.757,58.99100000000001,69.605,99.355,100.288,90.07799999999999,44.68600000000001,73007549,57359476,0.331,4400.0,111.04899999999999
107142,6695826.0,2327950.0,97.889,3716190.0,1.4600249790161e+26,2.5989999999999998,0.06,8852.0,56.831,61.879,73.541,109.679,111.70299999999999,95.902,46.586000000000006,77645623,60260338,0.32899999999999996,4478.0,102.694
108890,6695826.0,2327950.0,97.889,3716190.0,1.5046140384409001e+26,2.674,0.0618,8777.0,56.71,64.777,77.521,116.62,119.74,101.303,48.538999999999994,82154725,63061233,0.327,4249.0,105.04
100034,7005058.0,2637182.0,98.186,4025422.0,1.5309926268188e+26,2.755,0.0643,9950.0,58.121,67.766,81.643,122.64200000000001,125.52,107.314,50.576,86170134,65697182,0.326,4348.0,113.464
83086,7673000.0,3305124.0,98.62,4693363.0,1.6018521835238998e+26,2.84,0.0671,8923.0,56.49100000000001,70.904,85.92299999999999,128.378,130.53799999999998,113.979,52.706,88194130,67517839,0.324,3458.0,113.005
87097,7673000.0,3305124.0,98.62,4693363.0,1.6795519101196003e+26,2.93,0.071,9411.0,57.07,74.263,90.515,135.22899999999998,137.188,121.555,54.981,89645389,69013798,0.32299999999999995,2445.0,110.375
113894,7673000.0,3305124.0,98.62,4555363.0,1.762090814185e+26,3.033,0.0818,10124.0,57.897,78.277,96.27600000000001,149.395,151.49200000000002,131.39,57.696000000000005,93156848,71465642,0.322,4044.0,109.595
112075,7673000.0,3305124.0,98.62,4423450.0,1.8427629541468e+26,3.161,0.0977,13352.0,61.31,83.309,103.83200000000001,172.396,175.898,143.911,61.074,100020966,75711422,0.321,6073.0,108.42
133453,7673000.0,3305124.0,98.62,4423450.0,1.9607456225329e+26,3.2889999999999997,0.0892,12305.0,59.722,87.755,109.97399999999999,175.44799999999998,181.642,152.268,64.03699999999999,109103955,81211292,0.32,8125.0,110.54
124611,7673000.0,3305124.0,98.62,4423450.0,2.0370974062431e+26,3.37,0.0575,7092.0,52.832,90.118,111.73100000000001,145.224,149.566,151.045,65.564,112761871,84066225,0.319,4028.0,112.50299999999999
102963,7673000.0,3305124.0,98.62,4423450.0,2.0859434311197e+26,3.398,0.0462,6360.0,51.98,91.774,111.881,118.835,114.306,145.871,66.571,113879369,85732252,0.318,2789.0,111.738
82837,7673000.0,3007612.0,98.62,4423450.0,2.1312909511002e+26,3.387,0.0492,6595.0,52.23,93.61200000000001,112.311,108.635,99.199,140.774,67.69,114193555,87019865,0.317,2395.0,112.241
71397,7673000.0,2825353.0,98.62,4423450.0,2.1753110778086e+26,3.343,0.0459,5779.0,51.293,95.22,112.197,100.242,94.14399999999999,133.59799999999998,68.643,113342622,87685153,0.316,1393.0,108.635
100248,7673000.0,2825353.0,98.62,4423450.0,2.2136953854744e+26,3.27,0.0436,5865.0,51.386,96.652,111.67399999999999,93.675,90.57600000000001,122.676,69.473,112853589,88372982,0.315,1672.0,104.575
100365,7673000.0,2825353.0,98.62,4423450.0,2.2747772502194e+26,3.1689999999999996,0.0375,4937.0,50.336000000000006,97.689,110.28,84.359,81.865,105.48299999999999,70.021,113284804,89492829,0.314,1984.0,107.0
105254,8038276.0,3190629.0,98.84,4788726.0,2.3322389480128e+26,3.051,0.0389,5006.0,50.413000000000004,98.738,108.993,81.046,78.399,91.088,70.612,113732315,90676364,0.313,2375.0,110.492
82114,8974296.0,4126649.0,99.185,5724746.0,2.4056229139232997e+26,2.93,0.0473,4878.0,50.269,100.181,108.73100000000001,87.863,85.758,88.185,71.561,123391562,96542452,0.311,11864.0,112.815
105015,8974296.0,4126649.0,99.185,5724746.0,2.4157411451629e+26,2.813,0.0534,6198.0,51.711000000000006,101.81299999999999,109.15100000000001,97.281,97.865,90.221,72.755,125065950,98498384,0.31,3353.0,112.905
74501,8974296.0,4126649.0,99.185,5724746.0,2.4438673792602998e+26,2.7039999999999997,0.0572,6887.0,52.44,103.49600000000001,109.969,105.881,108.586,92.51299999999999,74.097,125069468,99685942,0.309,2602.0,113.2
69875,8974296.0,4126649.0,99.185,5724746.0,2.5501409810816e+26,2.602,0.0571,6616.0,52.126999999999995,105.11399999999999,110.665,110.088,113.09100000000001,95.72,75.411,124779444,100726893,0.307,2530.0,115.28
91717,8974296.0,4126649.0,99.185,5724746.0,2.6146344595084e+26,2.506,0.0568,6062.0,51.492,106.77799999999999,111.208,111.811,113.945,99.495,76.684,126144083,102533244,0.306,3960.0,116.686
93177,8974296.0,3393244.0,99.185,5787141.0,2.675011892035e+26,2.417,0.0604,7056.0,52.541000000000004,108.645,112.11200000000001,116.296,117.28399999999999,106.029,78.093,127555172,104192363,0.304,3176.0,118.696
102538,8974296.0,2278470.0,99.185,6005521.0,2.7359420194826e+26,2.3409999999999997,0.0674,7469.0,52.968999999999994,110.834,113.79899999999999,125.54799999999999,126.58200000000001,114.181,79.78399999999999,131151985,107124464,0.302,4566.0,124.605
90770,8974296.0,2278470.0,99.185,6005521.0,2.7726961242154998e+26,2.276,0.0699,8539.0,54.052,113.102,115.664,132.644,134.933,120.618,81.556,133284934,109368245,0.301,3672.0,127.725
86205,8974296.0,2278470.0,99.185,6005521.0,2.8541013520898002e+26,2.218,0.0665,7248.0,52.574,114.89200000000001,116.944,132.79399999999998,135.519,124.368,83.147,133789340,110848559,0.299,2893.0,128.75
78259,8974296.0,2278470.0,99.185,6005521.0,2.8933170436618e+26,2.162,0.0632,6431.0,51.67,116.244,117.681,129.555,130.763,126.05799999999999,84.565,133082592,111695878,0.297,2291.0,128.355
118060,8974296.0,2278470.0,99.185,6005521.0,2.9142664867709e+26,2.106,0.062,7773.0,53.012,117.492,118.185,126.8,126.285,127.45100000000001,85.90700000000001,131725402,112156482,0.295,1703.0,125.725
86965,8974296.0,2278470.0,99.185,6005521.0,2.9803267723135e+26,2.053,0.0653,7263.0,52.453,118.929,119.02799999999999,128.68,127.681,129.884,87.366,134239855,114392234,0.293,4764.0,126.43
76917,9854414.0,3158588.0,99.426,6885639.0,3.0421651135800003e+26,2.004,0.0672,6393.0,51.513999999999996,120.443,120.03,131.572,131.42600000000002,131.839,88.883,134243665,115318957,0.29100000000000004,2824.0,127.245
83615,10076293.0,3380467.0,99.46700000000001,7107518.0,3.083222266466e+26,1.955,0.0623,6340.0,51.457,121.441,120.302,128.11700000000002,128.912,130.39,90.156,134983652,116837496,0.289,3054.0,126.42399999999999
81968,10076293.0,3380467.0,99.46700000000001,7107518.0,3.0893696239446e+26,1.899,0.0555,5352.0,50.411,121.551,119.632,119.583,119.48899999999999,126.292,91.105,134223215,117546264,0.287,1811.0,126.90899999999999
82857,10076293.0,3380467.0,99.46700000000001,7107518.0,3.0849171814013e+26,1.837,0.0513,5046.0,50.091,120.97399999999999,118.415,111.139,109.14,121.97,91.848,133092141,118165394,0.285,1610.0,124.135
69993,10076293.0,3380467.0,99.46700000000001,7107518.0,3.0952322189986e+26,1.77,0.0525,5658.0,50.722,120.35700000000001,117.387,108.089,105.259,118.931,92.62200000000001,131322972,118441812,0.28300000000000003,1047.0,120.333
72149,10076293.0,3071234.0,99.46700000000001,7107518.0,3.1192501862284e+26,1.704,0.0567,6262.0,51.336000000000006,119.85,116.94200000000001,110.77600000000001,108.861,117.419,93.561,130017904,118792276,0.281,1435.0,119.685
